Name,Year,Rating,Date
Cry-Baby,1990,5,2020-08-07
Sam Jay: 3 in the Morning,2020,,2020-08-07
Star Wars,1977,4,2020-08-09
Tru Confessions,2002,3.5,2020-08-09
Camp Rock,2008,4.5,2020-08-09
Camp Rock 2: The Final Jam,2010,4.5,2020-08-10
High School Musical,2006,4.5,2020-08-10
High School Musical 2,2007,5,2020-08-10
Troll Hunter,2010,3.5,2020-08-11
Good Time,2017,4,2020-08-13
A Dirty Shame,2004,4,2020-08-14
Cecil B. Demented,2000,3.5,2020-08-15
The Empire Strikes Back,1980,4.5,2020-08-16
Microcosmos,1996,3.5,2020-08-18
Pecker,1998,2.5,2020-08-20
James Veitch: Straight to VHS,2020,4.5,2020-08-21
Beth Stelling: Girl Daddy,2020,4,2020-08-21
Live from the Space Stage: A HALYX Story,2020,2.5,2020-08-21
Serial Mom,1994,4,2020-08-22
Return of the Jedi,1983,3.5,2020-08-23
Muppet Treasure Island,1996,4,2020-08-25
Multiple Maniacs,1970,4,2020-08-26
Star Wars: Episode I – The Phantom Menace,1999,1.5,2020-08-30
Spotlight,2015,4,2020-08-31
Holes,2003,3.5,2020-09-01
Pink Flamingos,1972,3,2020-09-04
Palm Springs,2020,3.5,2020-09-06
Star Wars: Episode II – Attack of the Clones,2002,,2020-09-06
Beetlejuice,1988,2.5,2020-09-08
Six by Sondheim,2013,4,2020-09-11
Female Trouble,1974,4,2020-09-11
Company,2008,5,2020-09-11
Polyester,1981,4,2020-09-12
Star Wars: Episode III – Revenge of the Sith,2005,2.5,2020-09-13
Once,2007,4,2020-09-15
Desperate Living,1977,3,2020-09-17
Mandy,2018,4.5,2020-09-19
Star Wars: The Force Awakens,2015,3,2020-09-20
Happy Death Day,2017,3,2020-09-21
Fantastic Mr. Fox,2009,4,2020-09-22
A Nightmare on Elm Street,1984,3.5,2020-09-23
The Host,2006,4,2020-09-25
Star Wars: The Last Jedi,2017,4.5,2020-09-27
The People Under the Stairs,1991,4.5,2020-09-28
Moana,2016,3.5,2020-09-29
eXistenZ,1999,3,2020-09-30
Pan's Labyrinth,2006,4,2020-10-01
The Silence of the Lambs,1991,4,2020-10-02
Us,2019,3.5,2020-10-02
The Thing,1982,4,2020-10-03
Star Wars: The Rise of Skywalker,2019,2,2020-10-04
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,3,2020-10-05
Kiki's Delivery Service,1989,4.5,2020-10-06
The Rocky Horror Picture Show,1975,3,2020-10-07
Friday the 13th,1980,3,2020-10-08
The Lighthouse,2019,5,2020-10-09
They Live,1988,5,2020-10-10
The Shining,1980,5,2020-10-11
Addams Family Values,1993,4.5,2020-10-12
Stop Making Sense,1984,5,2020-10-13
Blood Quantum,2019,2.5,2020-10-13
Halloween,1978,4,2020-10-15
The Haunted Mansion,2003,1.5,2020-10-15
Scream,1996,5,2020-10-16
Evil Dead II,1987,4,2020-10-17
Cry-Baby,1990,5,2020-10-18
Jennifer's Body,2009,4.5,2020-10-20
Color Out of Space,2019,2,2020-10-21
Mulholland Drive,2001,4.5,2020-10-22
A Nightmare on Elm Street 3: Dream Warriors,1987,4,2020-10-23
Room 237,2012,3.5,2020-10-24
Detention,2011,3,2020-10-25
The People Under the Stairs,1991,4.5,2020-10-27
Over the Garden Wall,2014,4,2020-10-28
House,1977,5,2020-10-30
Videodrome,1983,5,2020-10-31
Hubie Halloween,2020,2.5,2020-11-01
Everything Is Illuminated,2005,4.5,2020-11-01
Romeo + Juliet,1996,2,2020-11-03
David Byrne's American Utopia,2020,5,2020-11-06
Her Smell,2018,3.5,2020-11-08
Sing Street,2016,5,2020-11-08
The Lego Batman Movie,2017,3,2020-11-10
Mad Max: Fury Road,2015,4.5,2020-11-10
Ben Platt: Live from Radio City Music Hall,2020,3.5,2020-11-12
Big Fish,2003,3.5,2020-11-17
LEGO Star Wars Holiday Special,2020,3,2020-11-22
Clueless,1995,4,2020-11-22
Stop Making Sense,1984,5,2020-11-23
Paddington,2014,5,2020-11-24
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,3.5,2020-11-24
An American Pickle,2020,3.5,2020-11-24
Borat Subsequent Moviefilm,2020,4,2020-11-24
Ratatouille,2007,4.5,2020-11-24
Onward,2020,2,2020-11-25
Phineas and Ferb: The Movie: Candace Against the Universe,2020,3.5,2020-11-25
Twin Peaks: Fire Walk with Me,1992,3.5,2020-11-26
Happiest Season,2020,2,2020-11-26
Twin Peaks: The Missing Pieces,2014,2.5,2020-11-29
Knives Out,2019,5,2020-11-29
Greener Grass,2019,5,2020-11-30
Snowpiercer,2013,3.5,2020-12-01
8:46,2020,5,2020-12-02
A Muppet Family Christmas,1987,4,2020-12-04
David Byrne's American Utopia,2020,5,2020-12-05
True Stories,1986,5,2020-12-05
Twin Peaks: The Return,2017,4,2020-12-06
Eighth Grade,2018,5,2020-12-06
The Leprechauns' Christmas Gold,1981,1,2020-12-08
Rudolph the Red-Nosed Reindeer,1964,3,2020-12-08
The Year Without a Santa Claus,1974,3.5,2020-12-08
How the Grinch Stole Christmas,2000,4,2020-12-09
First Cow,2019,3.5,2020-12-12
High School Musical: The Musical: The Holiday Special,2020,4,2020-12-12
An Evening with Tim Heidecker,2020,4,2020-12-13
Dog Day Afternoon,1975,5,2020-12-13
Quinoa,2007,3.5,2020-12-13
Multiple Maniacs,1970,4,2020-12-15
Elf,2003,3.5,2020-12-15
Bill & Ted's Excellent Adventure,1989,4,2020-12-16
Polyester,1981,4,2020-12-16
Emma.,2020,3,2020-12-17
Eyes Wide Shut,1999,4.5,2020-12-17
Mulan,2020,1,2020-12-18
Emmet Otter's Jug-Band Christmas,1977,4.5,2020-12-18
I'm Thinking of Ending Things,2020,5,2020-12-19
Da 5 Bloods,2020,2,2020-12-19
Crip Camp: A Disability Revolution,2020,4.5,2020-12-19
Long Toast,2020,4.5,2020-12-19
Canvas,2020,3,2020-12-20
Fargo,1996,4.5,2020-12-20
The Prom,2020,2,2020-12-20
Wild at Heart,1990,5,2020-12-20
Mangrove,2020,4.5,2020-12-21
Lovers Rock,2020,3.5,2020-12-21
A Muppets Christmas: Letters to Santa,2008,3.5,2020-12-21
It's a Very Merry Muppet Christmas Movie,2002,3.5,2020-12-21
Feels Good Man,2020,4.5,2020-12-22
Sonic the Hedgehog,2020,3,2020-12-22
Red White and Blue,2020,4,2020-12-22
The Muppet Christmas Carol,1992,4,2020-12-22
The Good Dinosaur,2015,2.5,2020-12-23
Shadow,2018,3,2020-12-23
Dr. Seuss' The Grinch Musical,2020,0.5,2020-12-23
Black Bear,2020,4.5,2020-12-24
Bad Education,2019,4,2020-12-24
Mickey's Once Upon a Christmas,1999,4.5,2020-12-24
Klaus,2019,4,2020-12-25
Soul,2020,3.5,2020-12-25
Home Alone,1990,4,2020-12-25
Home Alone 2: Lost in New York,1992,3.5,2020-12-25
Alex Wheatle,2020,3,2020-12-26
Education,2020,3.5,2020-12-26
Ma Rainey's Black Bottom,2020,3,2020-12-26
Shirley,2020,4,2020-12-26
Dick Johnson Is Dead,2020,4,2020-12-26
Scoob!,2020,1,2020-12-27
Possessor,2020,4,2020-12-27
I'm Thinking of Ending Things,2020,5,2020-12-27
Another Round,2020,4,2020-12-28
She Dies Tomorrow,2020,2.5,2020-12-28
Labyrinth,1986,3.5,2020-12-29
Wendy,2020,2,2020-12-29
Disclosure,2020,3.5,2020-12-30
Kajillionaire,2020,4.5,2020-12-30
Sorry We Missed You,2019,4.5,2020-12-31
Tenet,2020,3,2020-12-31
Female Trouble,1974,4.5,2021-01-01
Ratatouille: The TikTok Musical,2021,3.5,2021-01-02
Anastasia,1997,4,2021-01-03
Stop Making Sense,1984,5,2021-01-04
Wolfwalkers,2020,4,2021-01-05
Collective,2019,4.5,2021-01-05
Beastie Boys Story,2020,4,2021-01-06
Rabbits,2002,4,2021-01-09
Repo Man,1984,3.5,2021-01-09
Sailing with Bushnell Keeler,1967,,2021-01-10
Absurd Encounter with Fear,1967,,2021-01-10
The Cowboy and the Frenchman,1988,3,2021-01-10
2001: A Space Odyssey,1968,4.5,2021-01-10
Day of the Fight,1951,2,2021-01-11
Flying Padre,1951,2,2021-01-11
The Seafarers,1953,2.5,2021-01-11
Jour de fête,1949,4,2021-01-12
Run,2020,2,2021-01-12
The Social Dilemma,2020,1,2021-01-13
Seven Samurai,1954,4.5,2021-01-16
The Straight Story,1999,5,2021-01-17
Serial Mom,1994,5,2021-01-17
Election,1999,4,2021-01-18
Crip Camp: A Disability Revolution,2020,4.5,2021-01-19
Breathless,1960,2.5,2021-01-22
Killer's Kiss,1955,3,2021-01-23
Wolfwalkers,2020,4,2021-01-26
Godzilla,2014,4,2021-01-27
The Blob,1958,3,2021-01-29
Office Space,1999,2,2021-01-31
Ma Rainey's Black Bottom,2020,3,2021-02-04
Akira,1988,4,2021-02-05
