Name,Year,Rating,Date
Halloween,2018,3.5,2021-10-09
Trick 'r Treat,2007,4,2021-10-10
Serial Mom,1994,5,2021-10-12
Together Together,2021,4.5,2021-10-14
Skyfall,2012,4,2021-10-14
Diana: The Musical,2021,1,2021-10-15
Beastie Boys: Video Anthology,2000,4.5,2021-10-16
Funny Games,1997,4.5,2021-10-17
A Hard Day's Night,1964,3,2021-10-19
The Final Girls,2015,2.5,2021-10-22
Muppets Haunted Mansion,2021,3,2021-10-22
Crash,1996,4.5,2021-10-23
Corpse Bride,2005,3,2021-10-24
Kicking and Screaming,1995,2.5,2021-10-24
The Elephant Man,1980,4,2021-10-26
Donnie Darko,2001,4,2021-10-28
Spectre,2015,3,2021-10-29
Dune,2021,3,2021-10-30
Scream,1996,5,2021-10-30
Scream 2,1997,3.5,2021-10-30
Scream 3,2000,3,2021-10-30
Scream 4,2011,3.5,2021-10-30
Hocus Pocus,1993,4,2021-10-31
No Time to Die,2021,3,2021-11-01
Slacker,1990,2.5,2021-11-01
Last Night in Soho,2021,1.5,2021-11-02
Censor,2021,2.5,2021-11-02
Stalker,1979,4,2021-11-03
The French Dispatch,2021,3,2021-11-04
Willy's Wonderland,2021,2,2021-11-05
Dazed and Confused,1993,4.5,2021-11-07
Hello Dolly!,1969,4.5,2021-11-07
The Rock,1996,3,2021-11-09
Scanners,1981,4,2021-11-09
You've Got Mail,1998,2.5,2021-11-10
The Night Porter,1974,3,2021-11-10
Bicycle Thieves,1948,3.5,2021-11-11
Ratcatcher,1999,4,2021-11-12
Jungle Cruise,2021,1.5,2021-11-12
Armageddon,1998,2,2021-11-13
The Sparks Brothers,2021,3,2021-11-13
Home Sweet Home Alone,2021,0.5,2021-11-14
The Shape of Water,2017,4.5,2021-11-14
Spencer,2021,3.5,2021-11-15
Yojimbo,1961,4,2021-11-16
Princess Mononoke,1997,4,2021-11-16
Shadows,1958,3,2021-11-17
Belfast,2021,3.5,2021-11-18
Prisoners of the Ghostland,2021,2.5,2021-11-20
King Richard,2021,3.5,2021-11-20
Come from Away,2021,4,2021-11-20
Halloween Kills,2021,2,2021-11-20
Billie Eilish: The World's a Little Blurry,2021,3.5,2021-11-21
Walkabout,1971,4,2021-11-21
Evangelion: 3.0 You Can (Not) Redo,2012,3,2021-11-22
Val,2021,4,2021-11-22
The Hunchback of Notre Dame,1996,5,2021-11-23
The Hunchback of Notre Dame II,2002,1,2021-11-23
Fantastic Mr. Fox,2009,4.5,2021-11-23
The Eyes of Tammy Faye,2021,4,2021-11-24
House of Gucci,2021,4,2021-11-24
Under Wraps,2021,0.5,2021-11-24
Yi Yi,2000,4.5,2021-11-25
National Lampoon's Christmas Vacation,1989,0.5,2021-11-25
Unaccompanied Minors,2006,2.5,2021-11-25
Twas the Fight Before Christmas,2021,3.5,2021-11-26
tick tick...BOOM!,2021,4.5,2021-11-26
Sunday in the Park with George,1986,5,2021-11-26
The Thin Blue Line,1988,4,2021-11-28
Company,2008,5,2021-11-28
8-Bit Christmas,2021,2,2021-11-28
Moonstruck,1987,4.5,2021-11-28
Three Colours: White,1994,3.5,2021-11-29
The Father,2020,4.5,2021-11-30
Jonas Brothers Family Roast,2021,1,2021-12-01
Anna and the Apocalypse,2017,3,2021-12-01
The Humans,2021,3,2021-12-02
Christmas ...Again?!,2021,2,2021-12-03
Carol,2015,3.5,2021-12-03
C'mon C'mon,2021,3.5,2021-12-04
Theorem,1968,4,2021-12-05
The Power of the Dog,2021,3.5,2021-12-05
Crimson Peak,2015,3,2021-12-05
Benedetta,2021,4,2021-12-06
Harlan County U.S.A.,1976,5,2021-12-07
Black Christmas,1974,4,2021-12-07
Mandibles,2020,3.5,2021-12-08
Diary of a Wimpy Kid,2021,1,2021-12-08
A Christmas Story,1983,3.5,2021-12-08
Clifford the Big Red Dog,2021,2.5,2021-12-09
Krampus,2015,4,2021-12-09
Ghostbusters: Afterlife,2021,3,2021-12-10
Popstar: Never Stop Never Stopping,2016,4.5,2021-12-10
Twas the Fight Before Christmas,2021,3.5,2021-12-11
Scrooged,1988,2.5,2021-12-12
A Christmas Dance Reunion,2021,2,2021-12-13
South Park: Post COVID,2021,2,2021-12-13
Everybody's Talking About Jamie,2021,3,2021-12-13
Street Gang: How We Got to Sesame Street,2021,3,2021-12-14
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,3.5,2021-12-14
Single All the Way,2021,3,2021-12-14
Nightmare Alley,1947,3,2021-12-14
Passing,2021,4,2021-12-15
All Too Well: The Short Film,2021,3,2021-12-15
Ron's Gone Wrong,2021,3.5,2021-12-15
A Quiet Place,2018,3,2021-12-16
A Quiet Place Part II,2020,2.5,2021-12-16
The Nightmare Before Christmas,1993,4.5,2021-12-16
Nightmare Alley,2021,4.5,2021-12-17
Spin,2021,4,2021-12-17
The Velvet Underground,2021,3,2021-12-18
South Park: Post COVID: The Return of COVID,2021,2.5,2021-12-19
A Forbidden Orange,2021,2.5,2021-12-19
The Muppet Christmas Carol,1992,4,2021-12-19
Emmet Otter's Jug-Band Christmas,1977,4.5,2021-12-19
High School Musical,2006,5,2021-12-19
The Last Duel,2021,3,2021-12-20
Spider-Man: Far from Home,2019,3,2021-12-20
Love Actually,2003,3,2021-12-21
The Electrical Life of Louis Wain,2021,3.5,2021-12-22
The Matrix Resurrections,2021,4,2021-12-22
Nine Days,2020,4,2021-12-23
Don't Look Up,2021,2.5,2021-12-24
Encanto,2021,3.5,2021-12-25
The Scary of Sixty-First,2021,1.5,2021-12-25
The Wonderful World of Disney: Magical Holiday Celebration,2021,2,2021-12-25
Hawkeye,2021,3.5,2021-12-26
Licorice Pizza,2021,3.5,2021-12-26
Planes Trains and Automobiles,1987,4,2021-12-26
Spider-Man: No Way Home,2021,3,2021-12-28
The Nice Guys,2016,5,2021-12-28
Game Night,2018,4,2021-12-29
Red Rocket,2021,4.5,2021-12-30
Bo Burnham: Inside,2021,5,2021-12-31
Che: Part One,2008,4,2022-01-02
The Hunchback of Notre Dame,1996,5,2022-01-02
Che: Part Two,2008,3,2022-01-03
Boyhood,2014,4,2022-01-03
The Curious Case of Benjamin Button,2008,3,2022-01-03
Fishing with John,1991,4,2022-01-03
Hereditary,2018,4,2022-01-04
The Organizer,1963,4,2022-01-05
Fight Club,1999,3,2022-01-05
The Piano Teacher,2001,5,2022-01-05
Eyes Without a Face,1960,3.5,2022-01-07
Ocean's Eleven,2001,4,2022-01-07
Funny Games,1997,5,2022-01-08
The Decameron,1971,4,2022-01-08
Irma Vep,1996,3.5,2022-01-08
Cronos,1992,3,2022-01-09
Pirates of the Caribbean: The Curse of the Black Pearl,2003,3,2022-01-09
The Story of Menstruation,1946,3,2022-01-09
Tootsie,1982,3,2022-01-10
Star Wars: The Last Jedi,2017,4.5,2022-01-10
Three Colours: Red,1994,4,2022-01-10
Hard Boiled,1992,4,2022-01-11
Memories of Murder,2003,4,2022-01-12
Eternals,2021,2,2022-01-12
The Tragedy of Macbeth,2021,3.5,2022-01-15
Cars,2006,4,2022-01-16
The Canterbury Tales,1972,3,2022-01-16
The Lady Vanishes,1938,3.5,2022-01-17
Faces,1968,3,2022-01-17
Monsieur Hulot's Holiday,1953,3.5,2022-01-18
Line Goes Up - The Problem With NFTs,2022,,2022-01-21
Y Tu Mamá También,2001,4.5,2022-01-23
Winnie the Pooh,2011,4,2022-01-23
The Lure,2015,4.5,2022-01-23
Ghost World,2001,3,2022-01-24
Line Goes Up - The Problem With NFTs,2022,4,2022-01-25
Mon Oncle,1958,4,2022-01-26
Jackass: The Movie,2002,3,2022-01-27
Hunger,2008,4,2022-01-28
My Own Private Idaho,1991,3.5,2022-01-29
A Woman Under the Influence,1974,3.5,2022-01-30
The Simpsons Movie,2007,3.5,2022-01-30
The Times of Harvey Milk,1984,4.5,2022-01-31
Blue Is the Warmest Color,2013,2,2022-02-01
The Card Counter,2021,4,2022-02-02
Taste of Cherry,1997,4.5,2022-02-03
Jackass Number Two,2006,3.5,2022-02-03
Sanjuro,1962,4,2022-02-06
Tower of Terror,1997,3,2022-02-06
The Killing of a Chinese Bookie,1976,3,2022-02-07
The Tree of Life,2011,3,2022-02-10
Jackass 3D,2010,3,2022-02-12
I Daniel Blake,2016,5,2022-02-13
Decalogue II,1989,3,2022-02-13
Annette,2021,4,2022-02-13
The Muppets at Walt Disney World,1990,3,2022-02-13
Jackass Forever,2022,5,2022-02-14
Welcome to the Dollhouse,1995,4,2022-02-18
Disney's FastPass: A Complicated History,2021,4,2022-02-18
The Lost Daughter,2021,3.5,2022-02-20
A Bug's Life,1998,3.5,2022-02-20
Kimi,2022,3,2022-02-20
Decalogue III,1989,3.5,2022-02-25
Flee,2021,4,2022-02-27
Descendants,2015,2.5,2022-02-27
Decalogue IV,1989,3.5,2022-03-02
The Power of the Dog,2021,4,2022-03-04
tick tick...BOOM!,2021,5,2022-03-12
Scream,2022,3,2022-03-14
Turning Red,2022,3.5,2022-03-16
West Side Story,2021,3,2022-03-16
Johnny Bubble,2016,4,2022-03-19
Sissy-Boy Slap-Party,2004,4,2022-03-19
Decalogue V,1989,5,2022-03-20
Fresh,2022,3,2022-03-20
Fear & Shame,2017,4,2022-03-20
Decalogue VI,1989,4,2022-03-21
PlayTime,1967,4.5,2022-03-26
Billy Elliot,2000,3.5,2022-03-27
Decalogue VIII,1989,3,2022-03-28
Decalogue IX,1989,3.5,2022-03-28
Visitor Information,2015,,2022-03-29
What Codec Should I Use?,2020,,2022-03-30
Adventureland,2009,4,2022-04-01
Decalogue X,1989,4,2022-04-02
Dekalog,1989,4,2022-04-02
Nathan for You: Finding Frances,2017,4.5,2022-04-02
Suspiria,2018,5,2022-04-03
Trafic,1971,3,2022-04-04
Elephant,1989,4,2022-04-04
May I Please Enter?,2018,3,2022-04-05
Live Forever as You Are Now with Alan Resnick,2013,4,2022-04-05
Chasing Amy,1997,1,2022-04-05
Nowhere,1997,4.5,2022-04-06
Paul Schrader: Man in a Room,2020,3.5,2022-04-08
Moonrise Kingdom,2012,4,2022-04-09
Arabian Nights,1974,4,2022-04-10
The Batman,2022,3,2022-04-10
Before Sunrise,1995,5,2022-04-10
Bad Luck Banging or Loony Porn,2021,1.5,2022-04-11
Everything Everywhere All at Once,2022,4.5,2022-04-11
Atman,1975,3,2022-04-12
Kennywood Memories,1988,5,2022-04-13
The Devil's Backbone,2001,3.5,2022-04-14
What a Girl Wants,2003,2,2022-04-16
7 Days in Hell,2015,3.5,2022-04-16
The Witch,2015,4,2022-04-17
Dead Man,1995,4,2022-04-19
Possession,1981,5,2022-04-20
The Fast and the Furious,2001,2.5,2022-04-21
Benny's Video,1992,4.5,2022-04-22
Female Trouble,1974,4.5,2022-04-23
After Yang,2021,4,2022-04-23
The Battle of Algiers,1966,4,2022-04-23
Drive,2011,4,2022-04-24
Spider-Man,2002,4,2022-04-24
We're All Going to the World's Fair,2021,4,2022-04-25
The Northman,2022,3.5,2022-04-25
Bill & Ted's Bogus Journey,1991,4.5,2022-04-27
Night and Fog,1956,5,2022-04-29
France,2021,3,2022-04-29
Crush,2022,3,2022-04-30
The Irishman,2019,4,2022-04-30
Spring Breakers,2012,2.5,2022-05-01
Jackass Forever,2022,5,2022-05-01
Female Trouble,1974,4.5,2022-05-02
The Human Condition I: No Greater Love,1959,3.5,2022-05-03
Nightcrawler,2014,3.5,2022-05-04
Walk Hard: The Dewey Cox Story,2007,4,2022-05-05
The Last Temptation of Christ,1988,4.5,2022-05-05
Free Voice of Labor: The Jewish Anarchists,1980,4,2022-05-06
Tig Notaro: Drawn,2021,3.5,2022-05-06
CODA,2021,4.5,2022-05-06
71,2014,3.5,2022-05-07
Dunkirk,2017,2.5,2022-05-07
Amour,2012,4.5,2022-05-08
Moon Knight,2022,3,2022-05-08
Don't Worry He Won't Get Far on Foot,2018,4,2022-05-09
Come and See,1985,5,2022-05-10
The Bitter Tears of Petra von Kant,1972,3,2022-05-11
Bill & Ted Face the Music,2020,3,2022-05-13
Pig,2021,4.5,2022-05-15
Samurai I: Musashi Miyamoto,1954,3.5,2022-05-19
Salò or the 120 Days of Sodom,1975,4.5,2022-05-20
Barb & Star Go to Vista Del Mar,2021,4,2022-05-21
Titane,2021,5,2022-05-21
Paris Texas,1984,4,2022-05-22
Jackass 4.5,2022,4,2022-05-22
Chip 'n Dale: Rescue Rangers,2022,2.5,2022-05-23
Nick and Norah's Infinite Playlist,2008,3,2022-05-24
RRR,2022,4.5,2022-05-25
Opening Night,1977,3.5,2022-05-26
Antichrist,2009,3,2022-05-27
Belle,2021,3,2022-05-28
The Eyes of Tammy Faye,2021,4,2022-05-29
The Bob's Burgers Movie,2022,3.5,2022-05-30
Jerrod Carmichael: Rothaniel,2022,4,2022-05-31
Bo Burnham: The Inside Outtakes,2022,4,2022-05-31
Norm Macdonald: Nothing Special,2022,4,2022-06-02
Bo Burnham: Inside,2021,5,2022-06-03
Jerrod Carmichael: Rothaniel,2022,4,2022-06-03
Crush,2022,3.5,2022-06-04
As Tears Go By,1988,3.5,2022-06-04
Fire Island,2022,3.5,2022-06-05
Pygmalion,1938,3,2022-06-06
Stranger by the Lake,2013,3.5,2022-06-07
Shiva Baby,2020,4.5,2022-06-07
Dating Amber,2020,4,2022-06-08
Petite Maman,2021,4,2022-06-09
Rafiki,2018,4,2022-06-10
Mission: Impossible,1996,3,2022-06-10
Bo Burnham: The Inside Outtakes,2022,4,2022-06-10
Barbarella,1968,4.5,2022-06-11
Hedwig and the Angry Inch,2001,5,2022-06-12
Top Gun,1986,3,2022-06-13
Parade,1974,3,2022-06-13
Paterson,2016,4.5,2022-06-14
The Lord of the Rings: The Fellowship of the Ring,2001,4,2022-06-16
Days of Being Wild,1990,3.5,2022-06-17
The Boss Baby,2017,3.5,2022-06-18
Possession,1981,5,2022-06-19
The Lord of the Rings: The Two Towers,2002,4,2022-06-20
Uncharted,2022,2,2022-06-21
Doctor Strange in the Multiverse of Madness,2022,3,2022-06-22
Samurai II: Duel at Ichijoji Temple,1955,3,2022-06-23
On the Count of Three,2021,4,2022-06-24
Camp Rock 2: The Final Jam,2010,4.5,2022-06-24
Jackass Forever,2022,5,2022-06-25
The Great Muppet Caper,1981,4,2022-06-26
Hustle,2022,4,2022-06-29
Windfall,2022,3,2022-06-30
Sorry to Bother You,2018,4,2022-07-01
Song for Rent,1969,,2022-07-02
Workers Leaving the Googleplex,2011,,2022-07-02
Dumping Core,1984,,2022-07-02
Mad God,2021,5,2022-07-02
Paddington,2014,5,2022-07-02
Greener Grass,2019,5,2022-07-03
Suicide Kale,2016,2,2022-07-04
Anomalisa,2015,3,2022-07-05
Walker,1987,4.5,2022-07-07
Dying of the Light,2014,1.5,2022-07-08
Marcel the Shell with Shoes On,2010,,2022-07-09
Paul Robeson: Tribute to an Artist,1979,3,2022-07-09
Chungking Express,1994,4,2022-07-09
Alan Resnick's Enterings,2022,,2022-07-09
Moneyball,2011,3.5,2022-07-10
Terminal USA,1993,4,2022-07-12
Raising Arizona,1987,3.5,2022-07-13
Dead Poets Society,1989,3.5,2022-07-14
Whiplash,2014,5,2022-07-15
Maudie,2016,3.5,2022-07-18
Irreversible,2002,4.5,2022-07-18
Pleasure,2021,4,2022-07-19
Bull Durham,1988,3.5,2022-07-20
Switchblade Sisters,1975,4,2022-07-21
A Scanner Darkly,2006,3,2022-07-22
Z-O-M-B-I-E-S 3,2022,3,2022-07-22
mother!,2017,2.5,2022-07-23
Barry Lyndon,1975,5,2022-07-23
Dying of the Light,2014,3,2022-07-24
Dying of the Light,2014,3,2022-07-24
Lars and the Real Girl,2007,4.5,2022-07-27
A Kid in King Arthur's Court,1995,3,2022-07-27
Army of Darkness,1992,3,2022-07-29
Easy A,2010,3.5,2022-07-31
A League of Their Own,1992,4,2022-07-31
Jerrod Carmichael: 8,2017,4,2022-08-01
Light Sleeper,1992,3.5,2022-08-01
Tour de Pharmacy,2017,3.5,2022-08-02
Badlands,1973,4,2022-08-03
We're All Going to the World's Fair,2021,4,2022-08-03
Hollister,2017,,2022-08-04
Internships,2018,,2022-08-05
A Girl Walks Home Alone at Night,2014,4,2022-08-05
John Wick,2014,3,2022-08-06
Thor: Ragnarok,2017,3.5,2022-08-07
1917,2019,4,2022-08-08
Lightyear,2022,2.5,2022-08-08
Before Sunset,2004,5,2022-08-08
The Gray Man,2022,2.5,2022-08-10
Prey,2022,3.5,2022-08-12
Fallen Angels,1995,4.5,2022-08-12
The Skeleton Twins,2014,3,2022-08-13
8½,1963,3,2022-08-14
Thir13en Ghosts,2001,3,2022-08-14
Nineteen Eighty-Four,1984,2.5,2022-08-15
The Little Guy,2022,,2022-08-16
Groot's Pursuit,2022,,2022-08-16
Groot Takes a Bath,2022,,2022-08-16
Popeye,1980,4,2022-08-17
Men,2022,1.5,2022-08-17
The Brood,1979,3,2022-08-18
Pacific Rim,2013,4,2022-08-18
John Mulaney & The Sack Lunch Bunch,2019,4.5,2022-08-20
Drag Me to Hell,2009,3.5,2022-08-21
Inglourious Basterds,2009,4.5,2022-08-22
Happy Birthday to Me,1981,2.5,2022-08-23
High Fidelity,2000,3,2022-08-24
Death Becomes Her,1992,3.5,2022-08-24
Apollo 10½:  A Space Age Childhood,2022,3,2022-08-26
You Again,2010,1,2022-08-26
There's Something About Mary,1998,2,2022-08-27
Baby Oopsie,2021,3,2022-08-27
Crimes of the Future,2022,4.5,2022-08-28
Singin' in the Rain,1952,4,2022-08-28
What We Do in the Shadows,2014,4,2022-08-28
Cyrano,2021,4,2022-08-29
Stop Making Sense,1984,5,2022-08-30
Sid & Nancy,1986,4,2022-08-30
Fake News And How To Evade It,2017,,2022-08-30
Hardcore,1979,4,2022-09-01
Patriotism,1966,1,2022-09-01
Killer Klowns from Outer Space,1988,4,2022-09-02
PlayTime,1967,4.5,2022-09-03
Anything's Possible,2022,3,2022-09-05
Elvis,2022,3,2022-09-06
Night at the Museum,2006,3,2022-09-06
Thor: Love and Thunder,2022,1.5,2022-09-08
Lux Æterna,2019,4,2022-09-08
The Great Beauty,2013,4,2022-09-09
The Lord of the Rings: The Return of the King,2003,4,2022-09-10
Daughters of Darkness,1971,3,2022-09-10
Bloody Sunday,2002,4.5,2022-09-11
X,2022,2.5,2022-09-13
Affliction,1997,3.5,2022-09-14
The Aviator,2004,3,2022-09-15
House,1977,5,2022-09-16
Do Revenge,2022,2,2022-09-18
Porco Rosso,1992,4,2022-09-20
Child's Play,1988,4,2022-09-21
Until the End of the World,1991,4,2022-09-22
The Departed,2006,4.5,2022-09-22
The Woman King,2022,4,2022-09-24
Child's Play 2,1990,3.5,2022-09-26
The Master of Disguise,2002,0.5,2022-09-27
Anonymous Club,2021,4,2022-09-28
Pingu's The Thing,2012,4.5,2022-10-01
Stop Making Sense,1984,5,2022-10-01
Pink Floyd: The Wall,1982,4.5,2022-10-01
Greener Grass,2019,5,2022-10-01
Vampire's Kiss,1988,5,2022-10-02
Cats,2019,1.5,2022-10-02
High School Musical,2006,5,2022-10-02
My Best Friend's Exorcism,2022,3,2022-10-02
Child's Play 3,1991,3,2022-10-03
His House,2020,3.5,2022-10-04
Trick 'r Treat,2007,5,2022-10-05
Marcel the Shell with Shoes On,2021,4.5,2022-10-07
Hocus Pocus 2,2022,2.5,2022-10-07
Dave Made a Maze,2017,4,2022-10-08
Bride of Chucky,1998,4.5,2022-10-08
Flux Gourmet,2022,3,2022-10-09
Videodrome,1983,5,2022-10-09
Seed of Chucky,2004,5,2022-10-10
Werewolf by Night,2022,2.5,2022-10-11
Curse of Chucky,2013,3,2022-10-11
Speak No Evil,2022,2,2022-10-12
Cult of Chucky,2017,3,2022-10-13
Multiple Maniacs,1970,4,2022-10-14
The Stuff,1985,3.5,2022-10-15
Psycho Goreman,2020,4.5,2022-10-15
Over the Garden Wall,2014,5,2022-10-16
Society,1989,3,2022-10-18
Massacre of the Christians by the Chinese,1900,,2022-10-18
Hellboy,2004,4,2022-10-20
Halloween Kills,2021,2,2022-10-21
Halloween Ends,2022,3.5,2022-10-21
Psycho,1960,3,2022-10-22
Cat People,1982,3.5,2022-10-23
The Red Balloon,1956,4,2022-10-23
Get Out,2017,4,2022-10-23
Hellraiser,2022,3,2022-10-24
Dirtbag,2022,,2022-10-25
Barbarian,2022,4,2022-10-25
The Blair Witch Project,1999,2.5,2022-10-25
Glorious,2022,1.5,2022-10-25
Basket Case,1982,3,2022-10-26
Shivers,1975,3.5,2022-10-26
Bodies Bodies Bodies,2022,2.5,2022-10-27
Spirit Halloween: The Movie,2022,1.5,2022-10-27
Desperate Living,1977,3.5,2022-10-28
The Black Phone,2021,4,2022-10-28
Resident Evil,2002,2,2022-10-28
Halloween,1978,4,2022-10-29
Halloween II,1981,3.5,2022-10-29
Halloween III: Season of the Witch,1982,3.5,2022-10-29
An American Werewolf in London,1981,3.5,2022-10-30
Coraline,2009,4,2022-10-31
Elvira Mistress of the Dark,1988,5,2022-10-31
Child's Play,2019,3,2022-11-01
Heathers: The Musical,2022,4.5,2022-11-01
See How They Run,2022,3,2022-11-01
The Lobster,2015,4.5,2022-11-02
The Boondock Saints,1999,4,2022-11-03
Weird: The Al Yankovic Story,2022,4,2022-11-05
The Banshees of Inisherin,2022,4.5,2022-11-06
Eraserhead,1977,4.5,2022-11-06
Perfect Blue,1997,4.5,2022-11-07
The Outside,2022,4,2022-11-08
The Texas Chain Saw Massacre,1974,4,2022-11-08
I Stand Alone,1998,3.5,2022-11-09
Nope,2022,3,2022-11-10
Whisper of the Heart,1995,4,2022-11-11
Funny Games,2007,4.5,2022-11-12
Cruising,1980,4,2022-11-12
The Swell Season,2011,3.5,2022-11-13
Mothra vs. Godzilla,1964,3.5,2022-11-13
Mad God,2021,5,2022-11-14
Climax,2018,5,2022-11-15
Dogtooth,2009,3,2022-11-15
GoodFellas,1990,4,2022-11-16
Big Trouble in Little China,1986,3.5,2022-11-16
Hit the Road,2021,3.5,2022-11-17
Triangle of Sadness,2022,3.5,2022-11-17
Bowling for Columbine,2002,4,2022-11-18
Sonic the Hedgehog 2,2022,1.5,2022-11-19
Three Thousand Years of Longing,2022,4,2022-11-19
One Cut of the Dead,2017,4,2022-11-20
The Meyerowitz Stories (New and Selected),2017,4.5,2022-11-20
Disney Channel's Theme: A History Mystery,2022,,2022-11-21
Phantom Thread,2017,3.5,2022-11-21
Nacho Libre,2006,3,2022-11-21
Pee-wee's Big Adventure,1985,3.5,2022-11-24
Disenchanted,2022,3,2022-11-25
Silent Night Deadly Night,1984,3,2022-11-26
Don't Worry Darling,2022,2,2022-11-26
Neptune Frost,2021,3,2022-11-27
Sorry We Missed You,2019,5,2022-11-27
Emily the Criminal,2022,4,2022-11-28
Girl Interrupted,1999,3.5,2022-11-30
The Holiday,2006,4,2022-12-01
Happy Together,1997,3,2022-12-02
Basic Instinct,1992,3,2022-12-04
Norma Rae,1979,4,2022-12-04
Twice Upon a Christmas,2001,1.5,2022-12-04
The Viewing,2022,3.5,2022-12-04
Bros,2022,3,2022-12-07
Tokyo Godfathers,2003,3.5,2022-12-07
The Guardians of the Galaxy Holiday Special,2022,2.5,2022-12-07
Kiss Kiss Bang Bang,2005,4,2022-12-10
Under the Skin,2013,4,2022-12-11
Fanny and Alexander,1982,4,2022-12-11
Pearl,2022,2.5,2022-12-12
American Gigolo,1980,4,2022-12-14
Due Date,2010,1.5,2022-12-15
Who Killed Santa? A Murderville Murder Mystery,2022,3,2022-12-16
Parallel Mothers,2021,4,2022-12-18
Deck the Halls,2006,3,2022-12-18
Guillermo del Toro's Pinocchio,2022,4,2022-12-19
Buddies,1985,5,2022-12-21
The Whale,2022,3,2022-12-21
The Eternal Daughter,2022,3,2022-12-21
Adult Swim Yule Log,2022,3.5,2022-12-22
Decision to Leave,2022,4,2022-12-22
Enter the Void,2009,4.5,2022-12-23
Glass Onion,2022,4,2022-12-23
The Actress,2021,,2022-12-23
Top Gun: Maverick,2022,3.5,2022-12-24
It's a Wonderful Life,1946,4.5,2022-12-25
The Gospel According to St. Matthew,1964,3,2022-12-25
The Worst Person in the World,2021,3.5,2022-12-25
Falling for Christmas,2022,1,2022-12-25
Emmet Otter's Jug-Band Christmas,1977,5,2022-12-25
Vortex,2021,4,2022-12-26
TÁR,2022,4.5,2022-12-26
History of the Occult,2020,3,2022-12-27
Drive My Car,2021,4,2022-12-29
Night of the Coconut,2022,3,2022-12-29
Avatar: The Way of Water,2022,3,2022-12-30
Glass Onion,2022,4,2022-12-30
Lyle Lyle Crocodile,2022,4,2022-12-31
Bones and All,2022,4.5,2023-01-01
Rear Window,1954,3.5,2023-01-01
Shore Things,1996,3,2023-01-02
Ethnic Notions,1986,4,2023-01-03
Tongues Untied,1989,4.5,2023-01-03
The Alphabet,1969,,2023-01-03
Six Men Getting Sick,1967,,2023-01-03
Affirmations,1990,,2023-01-03
Anthem,1992,,2023-01-03
Color Adjustment,1992,4,2023-01-03
No Regret,1993,4,2023-01-03
Black Is… Black Ain’t,1994,4.5,2023-01-04
The Godfather: Part II,1974,4,2023-01-05
The Final Exit of the Disciples of Ascensia,2019,4,2023-01-06
Rosetta,1999,3.5,2023-01-06
And Then We Danced,2019,3.5,2023-01-06
Magic Mike,2012,3.5,2023-01-07
SexWorld,1978,3,2023-01-08
White Noise,2022,4,2023-01-08
This Place Rules,2022,3,2023-01-08
Man Bites Dog,1992,3.5,2023-01-09
Dog Eat Dog,2016,2,2023-01-10
A Dog's Will,2000,2.5,2023-01-11
Slumdog Millionaire,2008,3,2023-01-12
Friday the 13th Part 2,1981,2.5,2023-01-13
Friday the 13th Part III,1982,2,2023-01-13
12 Angry Men,1957,5,2023-01-15
Skinamarink,2022,4,2023-01-16
Cloud Atlas,2012,4,2023-01-18
A Brighter Summer Day,1991,4,2023-01-19
My Winnipeg,2007,4,2023-01-21
Good Will Hunting,1997,4,2023-01-22
The Farewell,2019,4,2023-01-22
Starlet,2012,4.5,2023-01-23
4 Months 3 Weeks and 2 Days,2007,4,2023-01-24
The Shawshank Redemption,1994,3.5,2023-01-25
Pink Flamingos,1972,4,2023-01-27
Stop Making Sense,1984,5,2023-01-29
Casablanca,1942,4,2023-01-31
3 Women,1977,4,2023-02-01
Ossos,1997,2.5,2023-02-02
From Dusk Till Dawn,1996,4.5,2023-02-03
Fat Girl,2001,4,2023-02-04
Contempt,1963,3.5,2023-02-05
Code Unknown,2000,4.5,2023-02-08
Nashville,1975,4.5,2023-02-10
The Northman,2022,4,2023-02-12
News from Home,1976,3,2023-02-16
Pride,2014,4.5,2023-02-17
I Want You Back,2022,3.5,2023-02-19
All Quiet on the Western Front,2022,3,2023-02-21
Green Book,2018,1.5,2023-02-28
Fire of Love,2022,3,2023-03-06
Stop Making Sense,1984,5,2023-03-08
Stop Making Sense,1984,5,2023-03-08
Stop Making Sense,1984,5,2023-03-08
Stop Making Sense,1984,5,2023-03-08
Stop Making Sense,1984,5,2023-03-09
Stop Making Sense,1984,5,2023-03-09
Stop Making Sense,1984,5,2023-03-09
Stop Making Sense,1984,5,2023-03-09
Stop Making Sense,1984,5,2023-03-09
Stop Making Sense,1984,5,2023-03-10
David Byrne's American Utopia,2020,5,2023-03-10
Women Talking,2022,3,2023-03-12
The Fabelmans,2022,4,2023-03-12
All the Beauty and the Bloodshed,2022,4,2023-03-12
Please Baby Please,2022,4,2023-03-13
Scorpio Rising,1963,4,2023-03-14
M. Butterfly,1993,3,2023-03-15
Crimes of the Future,1970,1.5,2023-03-15
You Were Never Really Here,2017,4.5,2023-03-16
Crash,1996,4.5,2023-03-17
No Country for Old Men,2007,4,2023-03-18
Long Train Running: A History of the Oakland Blues,1981,3,2023-03-19
The Last Five Years,2014,2,2023-03-19
Holy Motors,2012,5,2023-03-21
In the Mood for Love,2000,4,2023-03-26
Crumb,1994,4.5,2023-03-26
Sid & Nancy,1986,4.5,2023-03-27
